Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1/1/1939, M, M, M, M, M
1/2/1939, M, M, M, M, M
1/3/1939, M, M, M, M, M
1/4/1939, M, M, M, M, M
1/5/1939, M, M, M, M, M
1/6/1939, M, M, M, M, M
1/7/1939, M, M, M, M, M
1/8/1939, M, M, M, M, M
1/9/1939, M, M, M, M, M
1/10/1939, M, M, M, M, M
1/11/1939, M, M, M, M, M
1/12/1939, M, M, M, M, M
1/13/1939, M, M, M, M, M
1/14/1939, M, M, M, M, M
1/15/1939, M, M, M, M, M
1/16/1939,19,-5,0, M, M
1/17/1939,25,1, T, M, M
1/18/1939,7,-12, T, M, M
1/19/1939,10,-12,0, M, M
1/20/1939,12,-5, T, M, M
1/21/1939,18,-11, T, M, M
1/22/1939,31,5,0, M, M
1/23/1939,16,-5,0.4, M, M
1/24/1939,16,-11,0, M, M
1/25/1939,18,13,0.02, M, M
1/26/1939,29,-5,0.09, M, M
1/27/1939,9,-15,0, M, M
1/28/1939,17,-12,0, M, M
1/29/1939,30,4,0, M, M
1/30/1939,5,-8,0.01, M, M
1/31/1939,5,1,0, M, M
2/1/1939,14,-11,0, M,17
2/2/1939,14,-7, T, M,17
2/3/1939,26,9,0.12, M,19
2/4/1939,23,18,0.02, M,19
2/5/1939,18,9,0, M,17
2/6/1939,12,1, T, M,17
2/7/1939,18,-4,0, M,17
2/8/1939,19,-4,0, M,17
2/9/1939,25,8,0.04, M,17
2/10/1939,14,-8,0.09, M,17
2/11/1939,31,13,0.03, M,18
2/12/1939,19,-2,0.01, M,17
2/13/1939,4,-4,0.01, M,17
2/14/1939,15,-6,0.11, M,17
2/15/1939,42,15,0.41, M,19
2/16/1939,25,13,0.09, M,16
2/17/1939,16,-12,0.03, M,16
2/18/1939,30,11,0.02, M,17
2/19/1939,11,0, T, M,18
2/20/1939,6,-6,0.3, M,19
2/21/1939,10,-2, T, M,22
2/22/1939,9,4,0.36, M,22
2/23/1939,12,-10,0, M,28
2/24/1939,23,-5,0.01, M,28
